Region,SSHA,time,
Monterey Bay,2.94042226,3/16/14,
Monterey Bay,2.77710872,6/15/14,
Monterey Bay,6.01636406,9/15/14,
Monterey Bay,6.95767056,12/15/14,
Monterey Bay,4.68310524,3/16/15,
Monterey Bay,6.49193456,6/16/15,
Monterey Bay,10.14043814,9/15/15,
Monterey Bay,8.13005813,12/15/15,
Monterey Bay,8.11075956,3/16/16,
Monterey Bay,2.05270396,6/15/16,
Monterey Bay,1.83385745,9/14/16,
Monterey Bay,1.29563353,12/15/16,
Monterey Bay,3.35441036,3/16/17,
Monterey Bay,2.53314929,6/15/17,
Monterey Bay,3.08583055,9/14/17,
Monterey Bay,2.40780284,12/15/17,
Monterey Bay,0.87388787,3/16/18,
Monterey Bay,2.63202495,6/15/18,
Monterey Bay,1.74473708,9/15/18,
Monterey Bay,2.42857003,12/15/18,
Monterey Bay,1.06186186,3/16/19,
Monterey Bay,2.94137239,6/16/19,
Monterey Bay,-0.07046354,9/15/19,
Monterey Bay,3.99691219,12/15/19,
Monterey Bay,0.15247032,3/16/20,
Monterey Bay,3.68495705,6/15/20,
Monterey Bay,1.53179616,9/14/20,
Monterey Bay,1.93819305,12/15/20,
Cordell Bank,3.29105126,3/16/14,
Cordell Bank,1.98092619,6/15/14,
Cordell Bank,2.19404834,9/15/14,
Cordell Bank,9.06056996,12/15/14,
Cordell Bank,7.65118198,3/16/15,
Cordell Bank,5.79782628,6/16/15,
Cordell Bank,7.02948718,9/15/15,
Cordell Bank,5.92484867,12/15/15,
Cordell Bank,6.80294435,3/16/16,
Cordell Bank,1.1642922,6/15/16,
Cordell Bank,1.13436216,9/14/16,
Cordell Bank,2.11672761,12/15/16,
Cordell Bank,5.3546315,3/16/17,
Cordell Bank,-2.00524328,6/15/17,
Cordell Bank,1.88095777,9/14/17,
Cordell Bank,1.2556661,12/15/17,
Cordell Bank,-1.29450182,3/16/18,
Cordell Bank,7.23078176,6/15/18,
Cordell Bank,4.90771285,9/15/18,
Cordell Bank,2.75340668,12/15/18,
Cordell Bank,0.48253118,3/16/19,
Cordell Bank,0.0442782,6/16/19,
Cordell Bank,3.4116191,9/15/19,
Cordell Bank,3.3684786,12/15/19,
Cordell Bank,-0.56764914,3/16/20,
Cordell Bank,3.44798166,6/15/20,
Cordell Bank,5.1022069,9/14/20,
Cordell Bank,-3.8943711,12/15/20,
,,,
